,name,description,reasoning,step
0,Review Synthesizer,"Parses all reviews using NLP to automatically extract key points (e.g., criticisms, questions, suggestions). It then groups similar or related points from different reviewers together, presenting them as a consolidated list. Each point is linked back to its original source in the reviews.","This tool automates the tedious and error-prone task of manually collating feedback. Dora's next step after reading scores is to understand and organize the reviews; this tool directly supports that synthesis action, helping her quickly see the most salient and repeated feedback.",0
1,Rebuttal Strategy Canvas,"Provides an interactive canvas where each synthesized reviewer point is a draggable card. Dora can drag these cards into columns like 'Agree & Fix', 'Respectfully Disagree', 'Clarify Misunderstanding', or 'Acknowledge & Defer'. She can add notes and assign priority levels to each card.","After synthesizing reviews, Dora must strategize her response. This tool transforms that abstract mental process into a structured, visual plan, helping her build a coherent and strategic argument for the rebuttal.",0
2,Context-Aware Rebuttal Editor,"A split-pane writing interface. The left pane displays a specific reviewer comment or a synthesized point. The right pane is a text editor for writing the response to that specific point. It integrates with her submitted PDF, allowing her to link her response to specific pages or sections of her paper.","This tool will help Dora draft the rebuttal efficiently by keeping the context (the review and the paper) visible, reducing the cognitive load of switching between multiple documents. It directly supports the predicted action of drafting the rebuttal document.",0
3,Argument Contradiction Detector,"Analyzes the text across all reviews to specifically flag contradictory suggestions or assessments. For example, it would highlight if Reviewer 1 requests an additional user study while Reviewer 2 praises the current evaluation as sufficient.","Identifying conflicting advice is a critical part of rebuttal strategy. This tool automates that detection, allowing Dora to strategically address the disagreement between reviewers in her response, which is a common and high-impact rebuttal technique.",0
4,Rebuttal Tone Analyzer,"Provides real-time feedback on the tone of Dora's written rebuttal. It checks for defensiveness, overly aggressive language, or dismissiveness and suggests alternative, more professional phrasing. It also provides a summary of the perceived tone of each reviewer.","The rebuttal process is emotionally charged, and it's easy to sound defensive. This tool acts as a safeguard, helping Dora craft a response that is persuasive and respectful, increasing the chances of a positive outcome.",0
5,Character Budget Manager,"Dora inputs the total character limit for the rebuttal. She can then allocate a 'character budget' to each point she plans to address. The tool provides a visual indicator showing how much of the budget each response is using, helping her write concisely and prioritize space.","Rebuttals have notoriously strict length limits, forcing authors to make hard choices. This tool will help Dora manage this constraint strategically, ensuring she allocates enough space to the most critical points instead of running out of room.",0
6,Collaborative Rebuttal Hub,"A shared web-based environment where Dora and her co-authors can view the synthesized reviews. Team members can be assigned to draft responses to specific points, leave comments, and vote on strategic choices within the Rebuttal Strategy Canvas.","Academic writing is often collaborative. This tool streamlines the high-pressure, time-sensitive process of co-authoring a rebuttal, moving beyond messy email chains and providing a single source of truth for strategy and drafting.",0
7,Citation & Evidence Scout,"Allows Dora to highlight a claim or a paper mentioned in a review (e.g., 'The authors miss the work of Smith et al.'). The tool then automatically searches academic databases (like Google Scholar, ACM DL) to fetch the abstract, citation data, and PDF of the mentioned work.",This tool will help Dora quickly verify reviewer claims and find evidence for her counter-arguments. It supports the predicted action of fact-checking and cross-referencing by integrating the literature search directly into the rebuttal workflow.,0
8,Revision Task List Generator,"As Dora writes the rebuttal, she can tag statements like 'We will add this analysis to the final version.' The tool automatically collects these promises into a checklist of tasks for the camera-ready version of the paper, linking each task back to the relevant reviewer comment.","A rebuttal often contains promises for future revisions. This tool helps Dora track these commitments, ensuring that if the paper is accepted, she has a clear, pre-made to-do list for preparing the final version, preventing anything from being forgotten.",0
9,Successful Rebuttal Library,"Analyzes the text of a reviewer's criticism and searches a database of publicly available rebuttals (e.g., from OpenReview.net) from the same conference (UIST). It then surfaces examples of how other authors have successfully structured responses to similar types of critiques.","Dora needs to formulate a persuasive argument. This tool provides inspiration and strategic insight by showing her concrete examples of what has worked for others in the same high-stakes situation, helping her learn from the community's collective experience.",0
10,Rebuttal Project Planner,"Takes the submission deadline and number of major review points as input. It then automatically generates a suggested day-by-day project schedule with milestones (e.g., 'Review Analysis & Strategy,' 'Drafting Responses,' 'Co-author Review,' 'Final Polish & Submission'). The schedule can be exported to calendar applications like Google Calendar or Outlook.","After checking the deadline, Dora's immediate next step is to plan how to use the available time. This tool automates the creation of an actionable timeline, directly addressing the time management and planning phase she is about to enter.",1
11,Review-to-Paper Mapper,"Provides an interactive view of Dora's submitted PDF. When she highlights a specific comment from a review, the tool uses semantic search to identify and display the most relevant paragraphs or figures in her paper that the comment is likely referring to. She can then confirm the link to establish a clear connection.","To effectively rebut a point, Dora must first understand its context within her own work. This tool will help her next action of deep-reading the reviews by automating the process of locating the specific part of her paper being critiqued, saving time and preventing misinterpretation.",1
12,Impact vs. Effort Matrix,"A visual 2x2 grid with 'Effort to Address' on the x-axis and 'Potential Impact on Score' on the y-axis. Dora can drag synthesized reviewer points into one of the four quadrants (e.g., 'High-Impact, Low-Effort'). This helps visually prioritize which issues to tackle in the limited rebuttal space.","After reading the reviews, Dora will need to strategize which points to address. This tool provides a structured framework for this decision-making process, moving beyond simple categorization to a cost-benefit analysis that directly informs her rebuttal strategy.",1
13,Reviewer Persona Profiler,"Analyzes the language, tone, and cited works within each review to generate a speculative profile of the reviewer's priorities. It might tag a reviewer as 'Theory-Focused,' 'Implementation-Oriented,' or 'UX-centric,' helping Dora understand the lens through which her work was judged.","This tool helps Dora tailor her arguments by providing insight into each reviewer's likely expertise and values. This moves beyond the raw text of the review to help her craft a more persuasive and targeted response, a key part of the deep analysis she is about to perform.",1
14,Rebuttal Opening Statement Generator,"After Dora has categorized the main reviewer concerns, this tool generates several template opening paragraphs for the rebuttal. These drafts frame the response positively, thank the reviewers, and concisely summarize the key points that will be addressed, providing a strong starting point for the writing process.","Starting the rebuttal is often a point of friction. This tool helps Dora move from the planning stage to the writing stage by providing well-structured, professional opening statements that set a collaborative tone and outline her response.",1
15,Visual Argument Sketchpad,"A simple digital whiteboard integrated into the rebuttal editor. It allows Dora to quickly sketch diagrams, flowcharts, or annotate figures to create visual explanations. This is especially useful for responding to critiques about complex architectures or processes when character count is limited.","Some critiques are best addressed visually. As Dora analyzes the reviews, she might realize a textual explanation is inefficient. This tool empowers her to create visual aids directly within her rebuttal workflow, a powerful option when constrained by character limits.",1
16,Acronym & Jargon Buster,"Scans all reviews and cross-references the terminology with Dora's submitted paper. It flags acronyms or domain-specific jargon used by reviewers that are not defined in her paper (or vice-versa), identifying potential sources of miscommunication.","Misunderstanding often stems from terminology differences. This tool helps Dora perform a deep-dive analysis by proactively identifying these linguistic gaps, allowing her to address misunderstandings before they derail her rebuttal.",1
17,Expertise-Based Task Assigner,"In a collaborative project, co-authors can link their academic profiles (e.g., Google Scholar). The tool analyzes their publication history and then suggests which co-author is best suited to draft the response for each specific reviewer comment based on their expertise.","After an initial pass of the reviews, the next step is often to delegate. This tool automates and optimizes delegation by using data to match the most qualified author to each point, improving the quality and efficiency of a collaborative rebuttal.",1
18,Conciseness Engine,"Dora can write a detailed, long-form response to a point. This tool then uses generative AI to produce several alternative phrasings that convey the same core message but with a significantly lower character count. Dora can choose the best option that fits her character budget.","Dora just checked the length constraints and will inevitably struggle to be concise. This tool directly assists in the writing and editing phase by automating the difficult task of shortening text while preserving its meaning, ensuring she can address more points effectively.",1
19,What-If Rebuttal Simulator,"Using a model trained on past decisions from the conference, this tool provides a speculative forecast of a rebuttal's success. Dora inputs her strategy (e.g., 'Address R1's major flaw, clarify R2's misunderstanding'), and the tool estimates the probabilistic impact on the final scores.","Dora's first action was to check scores, indicating her anxiety about the outcome. This tool allows her to game-plan different rebuttal strategies during her planning phase and see a simulated result, helping her make more confident strategic choices.",1
20,Example Deconstructor,"A browser extension that, when activated on the example Google Doc, uses NLP to analyze and overlay annotations on the document. It identifies and tags key rhetorical strategies (e.g., 'Acknowledging a Flaw,' 'Correcting a Misunderstanding,' 'Promising a Future Fix'), highlights the overall structure (e.g., 'Opening Summary,' 'Response to Reviewer X'), and detects the tone of each section. This allows Dora to understand not just what the example says, but how it functions as a persuasive document.","Dora is currently studying an example to learn how to structure her rebuttal. This tool accelerates her learning by explicitly breaking down the example's effective components, helping her move from passively reading to actively analyzing its structure and strategies, which is her immediate next step.",2
21,Structural Template Cloner,"A tool that scans the provided example Google Doc ('Memes CSCW review synthesis') and automatically generates a new, blank Google Doc in Dora's own drive that replicates its structure. It copies the exact hierarchy of headings, bullet points, and placeholder sections (e.g., 'Summary of Changes,' 'Response to Reviewer 1'), creating a ready-to-use scaffold for her own rebuttal.","Dora's next action after analyzing the example will be to create her own synthesis document. This tool automates the tedious setup process, allowing her to immediately start inputting her own review points into a format she has just identified as a successful model.",2
22,Dual-View Synthesis Workspace,"A split-screen web application. On the left, it displays the example Google Doc she is studying. On the right, it displays the synthesized review points from the 'Review Synthesizer' tool. Dora can highlight a strategic response in the example doc and 'link' it to one of her own review points, creating a direct association between the example's strategy and her specific problem.","Dora needs to bridge the gap between the example and her own specific reviews. This tool facilitates the direct application of her learnings from the example document to her own work, which is the crucial step between analysis and drafting.",2
23,Implied Workload Analyzer,"This tool analyzes the text of the example rebuttal synthesis ('Memes CSCW review synthesis') to identify and extract all the 'promises' of future work (e.g., 'we will add a new analysis,' 'we will revise Figure 3,' 'we will run a follow-up study'). It then categorizes these promises by estimated effort (Low, Medium, High) to give Dora a realistic preview of the workload associated with a successful rebuttal in this domain.","While studying the example, Dora needs to gauge the scope of work required for a successful revision. This tool provides an immediate estimate, helping her strategize which points she can realistically promise to fix within her own project's constraints.",2
